100,91,1079
100,92,969
100,92_2,122
100,93,1102
100,94,895
100,95,910
100,96,1713
100,96_2,108
100,97,981
100,98,2680
100,99,2716
100,100,2645
100,101,2600
100,101_2,140
100,102,2489
100,103,1212
101,103_2,98
101,104,1097
101,105,1076
101,105_2,90
101,106,1049
101,107,1184
101,108,945
101,109,1358
101,109_2,153
101,110,2601
101,111,2874
101,112,2901
101,112_2,193
101,113,2870
101,114,2418
101,115,2045
102,115_2,97
102,116,1330
102,117,1187
102,117_2,82
102,118,1756
102,119,1870
102,119_2,66
102,120,833
102,121,2816
102,121_2,161
102,122,2933
102,123,3479
102,124,3501
102,125,3545
102,125_2,171
102,126,3461
102,127,2846
102,128,2974
102,128_2,221
102,129,2876
103,130,1480
103,131,1409
103,131_2,112
103,132,1056
103,133,2014
103,134,943
103,135,1809
103,136,1547
103,136_2,155
103,137,2897
103,138,2820
103,139,3167
103,140,2954
103,140_2,298
103,141,3542
103,142,3853
103,143,3701
103,143_2,339
103,144,3114
104,145,1561
104,146,1291
104,147,757
104,147_2,148
104,148,768
104,149,917
104,150,930
104,151,1750
104,152,1368
104,152_2,127
104,153,2354
104,153_2,101
104,154,3083
104,155,3041
104,155_2,148
104,156,3639
104,156_2,106
104,157,3227
104,158,1961
104,158_2,163
104,159,1306
104,159_2,114
104,160,1455
106,174,2242
106,174-2,138
106,175,1891
106,176,1541
106,177,1050
106,178,2664
106,178_2,61
106,179,2587
106,180,2734
106,181,2569
106,181_2,102
106,182,2768
106,183,2887
106,184,2601
106,184_2,60
106,185,1812
106,186,845
93,23,1914
93,24,1942
93,25,1877
93,26,1468
93,27,1780
93,28,1903
93,29,1965
93,30,1947
94,31,1775
94,32,2023
94,33,1904
94,34,1603
94,35,1771
94,35_2,108
94,36,2017
94,37,2095
94,37_2,103
94,38,2067
94,39,2040
95,40,1980
95,41,2030
95,42,1672
95,43,1540
95,43_2,119
95,44,2061
95,45,2053
95,45_2,126
95,46,2076
95,47,2073
95,47_2,66
96,48,2046
96,49,1884
96,49_2,61
96,50,1861
96,51,2054
96,51_2,116
96,52,2173
96,53,2223
96,53_2,175
96,54,2070
96,55,2234
96,55_2,109
97,56,2205
97,57,1883
97,58,1608
97,58_2,112
97,59,1668
97,60,1638
97,61,2224
97,61_2,131
97,62,2130
97,63,2337
97,63_2,173
97,64,2374
97,65,2343
97,65_2,97
97,66,2356
98,67,2412
98,68,2325
98,68_2,124
98,69,1654
98,70,1374
98,71,858
98,72,2598
98,72_2,157
98,73,2608
98,74,2386
98,75,2157
98,75_2,183
98,76,2238
98,77,1976
98,77_2,167
98,78,1109
99,79,734
99,80,900
99,80_2,112
99,81,1310
99,82,1057
99,83,866
99,84,2577
99,84_2,157
99,85,2521
99,86,2581
99,87,2443
99,87_2,195
99,88,2439
99,89,2376
99,90,1281
99,90_2,164
